product_name,product_category,review,rating,net_profit,units_sold,purchase_date,region
Robot Vacuum,Home Goods,Stopped working after a few months.,5,51,157,2024/07/01,South
Gaming Chair,Furniture,Loving it so far!,5,52,76,2024/07/02,East
Air Purifier,Home Goods,Not worth the money.,4,58,115,2024/07/03,West
Blender,Kitchen,"Decent for the price, could be better.",1,63,79,2024/07/04,North
4K Action Camera,Electronics,Battery life could be longer.,2,62,103,2024/07/05,South
Wireless Earbuds,Audio,Exceeded my expectations!,2,60,179,2024/07/06,West
Blender,Kitchen,Not worth the money.,2,54,86,2024/07/07,West
Robot Vacuum,Home Goods,Very sturdy and reliable.,3,64,92,2024/07/08,South
Standing Desk,Furniture,Simple and effective.,2,65,179,2024/07/09,North
Electric Kettle,Kitchen,Exceeded my expectations!,5,78,198,2024/07/10,North
Blender,Kitchen,Stopped working after a few months.,3,87,61,2024/07/11,East
Standing Desk,Furniture,Not worth the money.,2,86,113,2024/07/12,South
Air Purifier,Home Goods,Battery life could be longer.,2,87,81,2024/07/13,South
Electric Kettle,Kitchen,Very sturdy and reliable.,4,84,186,2024/07/14,South
Smartwatch,Wearables,Not worth the money.,3,89,68,2024/07/15,North
Laptop,Electronics,"Excellent quality, highly recommend.",4,90,93,2024/07/16,South
Smartwatch,Wearables,Not worth the money.,5,103,177,2024/07/17,North
Wireless Earbuds,Audio,"Decent for the price, could be better.",1,110,147,2024/07/18,South
Standing Desk,Furniture,"Excellent quality, highly recommend.",1,107,24,2024/07/19,East
Electric Kettle,Kitchen,Loving it so far!,4,118,119,2024/07/20,East
Electric Kettle,Kitchen,Not worth the money.,4,121,112,2024/07/21,East
Laptop,Electronics,Sound quality is amazing.,4,129,160,2024/07/22,South
Wireless Earbuds,Audio,Not worth the money.,4,127,116,2024/07/23,West
4K Action Camera,Electronics,"Decent for the price, could be better.",3,131,143,2024/07/24,North
Gaming Chair,Furniture,Loving it so far!,3,135,44,2024/07/25,South
Laptop,Electronics,Simple and effective.,5,139,85,2024/07/26,West
Robot Vacuum,Home Goods,Battery life could be longer.,5,142,144,2024/07/27,North
Laptop,Electronics,"Excellent quality, highly recommend.",2,154,139,2024/07/28,North
Air Purifier,Home Goods,Exceeded my expectations!,1,156,106,2024/07/29,North
Robot Vacuum,Home Goods,Simple and effective.,3,161,78,2024/07/30,West
4K Action Camera,Electronics,Exceeded my expectations!,5,158,66,2024/07/31,South
Robot Vacuum,Home Goods,"Excellent quality, highly recommend.",5,167,195,2024/08/01,South
Wireless Earbuds,Audio,Sound quality is amazing.,4,173,90,2024/08/02,East
Gaming Chair,Furniture,"Decent for the price, could be better.",2,166,48,2024/08/03,West
Robot Vacuum,Home Goods,Very sturdy and reliable.,3,160,101,2024/08/04,South
Gaming Chair,Furniture,Stopped working after a few months.,5,164,93,2024/08/05,East
Smartwatch,Wearables,"Decent for the price, could be better.",1,157,76,2024/08/06,East
Air Purifier,Home Goods,"Excellent quality, highly recommend.",4,170,131,2024/08/07,North
Electric Kettle,Kitchen,Stopped working after a few months.,3,173,80,2024/08/08,East
Air Purifier,Home Goods,Loving it so far!,1,174,39,2024/08/09,South
Standing Desk,Furniture,Sound quality is amazing.,5,171,24,2024/08/10,East
Blender,Kitchen,Battery life could be longer.,3,181,145,2024/08/11,North
Electric Kettle,Kitchen,"Excellent quality, highly recommend.",3,186,123,2024/08/12,West
Laptop,Electronics,Sound quality is amazing.,1,197,133,2024/08/13,South
Air Purifier,Home Goods,Stopped working after a few months.,4,200,192,2024/08/14,East
Wireless Earbuds,Audio,Not worth the money.,4,199,126,2024/08/15,West
